ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AO,2015,13.27,7.26,92.69,57.83,36.73,51.27,47.7890,4166.98,6.53,32.30,0.057,0.179,0.022,0.660,4520,2.61,33.52,49.96,47.37,0.00,32.30,NA
BF,2015,15.44,6.04,83.53,62.39,14.02,35.30,20.1511,652.83,7.03,41.40,0.039,0.022,0.011,0.635,700,5.83,36.03,46.95,28.38,0.24,41.40,4.42
BI,2015,12.75,1.55,53.37,39.63,46.27,38.62,24.6737,276.63,3.99,64.90,0.010,0.490,0.069,0.049,260,6.58,30.83,52.43,38.00,9.41,64.90,NA
BJ,2015,13.38,2.57,82.47,58.31,40.68,47.76,44.6035,1075.98,1.53,38.50,NA,NA,NA,NA,1180,2.91,40.50,45.63,20.14,1.68,38.50,3.62
BW,2015,24.55,17.71,242.30,133.03,5.12,53.33,49.7053,6799.86,6.14,19.30,NA,NA,NA,NA,6840,5.73,3.58,25.21,67.76,0.00,19.30,3.76
CD,2015,12.27,4.40,45.71,32.93,64.81,42.10,30.2601,2419.77,0.60,63.90,NA,NA,NA,NA,NA,4.00,37.18,43.76,16.57,0.85,63.90,3.90
CF,2015,26.31,4.30,74.33,40.97,55.72,56.24,57.0637,377.14,0.90,62.00,0.022,NA,0.022,0.022,400,5.03,48.78,49.54,9.05,0.00,62.00,NA
CG,2015,12.46,9.90,110.90,71.99,24.32,48.94,42.2273,2419.77,4.47,40.90,0.080,0.020,0.020,0.500,NA,3.42,32.46,35.54,45.54,0.00,40.90,4.69
CI,2015,17.71,3.10,113.20,82.27,14.01,41.47,29.6206,1971.05,1.54,39.50,0.130,NA,NA,0.381,1660,4.42,42.87,62.34,24.50,0.65,39.50,4.45
CM,2015,17.09,3.51,153.48,103.76,11.66,46.64,37.8863,1326.50,4.55,37.50,NA,NA,NA,NA,1440,3.75,69.85,79.99,10.11,0.00,37.50,5.04
CV,2015,16.73,11.90,277.20,196.24,0.88,42.38,30.1912,3041.78,4.54,35.00,NA,NA,NA,NA,3210,4.82,27.76,30.05,65.89,18.70,35.00,NA
DJ,2015,11.89,11.39,155.82,116.93,8.16,41.59,30.5431,2675.61,0.32,21.10,NA,NA,NA,NA,2730,3.08,20.54,21.76,55.05,13.15,21.10,NA
DZ,2015,2.72,11.21,249.73,217.74,0.13,27.62,12.5331,4177.88,0.55,5.50,NA,NA,NA,NA,4850,6.98,28.21,29.51,70.46,28.15,5.50,NA
EG,2015,3.72,13.05,153.95,123.78,0.76,31.53,16.4186,3437.21,0.18,32.50,1.600,0.256,0.448,4.799,3230,5.34,59.45,68.55,31.24,4.80,32.50,4.76
ER,2015,18.69,6.66,NA,NA,NA,NA,NA,602.25,1.03,69.00,NA,0.083,0.041,2.166,NA,4.46,41.98,41.98,16.68,0.00,69.00,NA
ET,2015,9.98,2.20,94.58,77.45,11.87,34.99,20.6270,625.56,0.76,23.50,0.076,0.046,0.040,1.001,600,3.82,36.74,56.49,25.25,0.00,23.50,4.57
GA,2015,15.17,20.22,295.40,231.62,1.12,38.02,25.0646,7379.16,8.06,33.40,0.259,0.777,0.104,0.518,7970,2.66,25.90,40.27,58.91,24.60,33.40,4.66
GH,2015,12.02,6.81,206.09,151.37,6.67,43.52,34.4042,1765.99,1.75,23.40,0.058,0.065,NA,7.733,1950,4.62,35.80,39.99,35.08,9.06,23.40,3.99
GM,2015,10.29,9.30,148.74,115.27,2.83,35.92,21.3650,660.72,2.69,48.60,0.101,NA,0.101,0.303,650,3.18,23.42,33.62,31.43,0.00,48.60,NA
GN,2015,12.99,4.38,86.37,70.25,14.29,33.73,19.1085,769.26,0.38,43.70,0.025,0.008,0.008,NA,760,5.81,49.35,69.15,7.39,1.52,43.70,3.50
